code,ticker_code,name,market_product_category,source_date
2217,2217.T,モロゾフ,プライム（内国株式）,2026-02-28
2220,2220.T,亀田製菓,プライム（内国株式）,2026-02-28
2221,2221.T,岩塚製菓,スタンダード（内国株式）,2026-02-28
2222,2222.T,寿スピリッツ,プライム（内国株式）,2026-02-28
2224,2224.T,コモ,スタンダード（内国株式）,2026-02-28
2226,2226.T,湖池屋,スタンダード（内国株式）,2026-02-28
2229,2229.T,カルビー,プライム（内国株式）,2026-02-28
2264,2264.T,森永乳業,プライム（内国株式）,2026-02-28
2266,2266.T,六甲バター,プライム（内国株式）,2026-02-28
2267,2267.T,ヤクルト本社,プライム（内国株式）,2026-02-28
2268,2268.T,B-R サーティワン アイスクリーム,スタンダード（内国株式）,2026-02-28
2269,2269.T,明治ホールディングス,プライム（内国株式）,2026-02-28
2270,2270.T,雪印メグミルク,プライム（内国株式）,2026-02-28
2281,2281.T,プリマハム,プライム（内国株式）,2026-02-28
2282,2282.T,日本ハム,プライム（内国株式）,2026-02-28
2286,2286.T,林兼産業,スタンダード（内国株式）,2026-02-28
2288,2288.T,丸大食品,プライム（内国株式）,2026-02-28
2291,2291.T,福留ハム,スタンダード（内国株式）,2026-02-28
2292,2292.T,S Foods,プライム（内国株式）,2026-02-28
2293,2293.T,滝沢ハム,スタンダード（内国株式）,2026-02-28
2294,2294.T,柿安本店,プライム（内国株式）,2026-02-28
2296,2296.T,伊藤ハム米久ホールディングス,プライム（内国株式）,2026-02-28
2300,2300.T,きょくとう,スタンダード（内国株式）,2026-02-28
2301,2301.T,学情,プライム（内国株式）,2026-02-28
2303,2303.T,ドーン,スタンダード（内国株式）,2026-02-28
2304,2304.T,CSSホールディングス,スタンダード（内国株式）,2026-02-28
2305,2305.T,スタジオアリス,スタンダード（内国株式）,2026-02-28
2307,2307.T,クロスキャット,プライム（内国株式）,2026-02-28
2311,2311.T,エプコ,スタンダード（内国株式）,2026-02-28
2315,2315.T,CAICA DIGITAL,スタンダード（内国株式）,2026-02-28
2317,2317.T,システナ,プライム（内国株式）,2026-02-28
2323,2323.T,fonfun,スタンダード（内国株式）,2026-02-28
2325,2325.T,NJS,プライム（内国株式）,2026-02-28
2326,2326.T,デジタルアーツ,プライム（内国株式）,2026-02-28
2327,2327.T,日鉄ソリューションズ,プライム（内国株式）,2026-02-28
2329,2329.T,東北新社,スタンダード（内国株式）,2026-02-28
2330,2330.T,フォーサイド,スタンダード（内国株式）,2026-02-28
